IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.52.130,4,4,0.00,48.64,0.00
172.64.229.48,4,4,0.00,52.00,0.00
172.64.53.213,4,4,0.00,67.92,0.00
172.64.33.38,4,4,0.00,80.24,0.00
172.64.159.136,4,4,0.00,80.37,0.00
172.64.48.182,4,4,0.00,80.47,0.00
172.64.144.193,4,4,0.00,80.83,0.00
172.64.32.1,4,4,0.00,81.23,0.00
172.64.50.158,4,4,0.00,81.80,0.00
172.64.42.217,4,4,0.00,84.79,0.00
