IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.147.25,4,4,0.00,82.20,0.00
108.162.192.7,4,4,0.00,82.36,0.00
162.159.9.194,4,4,0.00,82.36,0.00
162.159.58.65,4,4,0.00,82.39,0.00
172.64.33.73,4,4,0.00,82.40,0.00
108.162.195.172,4,4,0.00,82.51,0.00
162.159.2.139,4,4,0.00,82.51,0.00
162.159.3.42,4,4,0.00,82.63,0.00
108.162.192.2,4,4,0.00,82.64,0.00
162.159.6.22,4,4,0.00,82.71,0.00
162.159.40.70,4,4,0.00,82.71,0.00
108.162.195.119,4,4,0.00,82.83,0.00
108.162.193.169,4,4,0.00,82.93,0.00
162.159.0.5,4,4,0.00,83.02,0.00
162.159.61.18,4,4,0.00,83.04,0.00
172.64.32.2,4,4,0.00,83.06,0.00
162.159.1.226,4,4,0.00,83.11,0.00
104.18.39.17,4,4,0.00,83.17,0.00
108.162.195.240,4,4,0.00,83.22,0.00
162.159.0.92,4,4,0.00,83.25,0.00
162.159.1.61,4,4,0.00,83.25,0.00
198.41.223.129,4,4,0.00,83.49,0.00
108.162.192.6,4,4,0.00,83.85,0.00
108.162.194.64,4,4,0.00,84.04,0.00
162.159.0.2,4,4,0.00,84.07,0.00
104.18.37.97,4,4,0.00,84.11,0.00
108.162.192.3,4,4,0.00,84.12,0.00
162.159.20.177,4,4,0.00,84.33,0.00
108.162.192.8,4,4,0.00,84.36,0.00
104.18.37.113,4,4,0.00,84.37,0.00
104.18.38.108,4,4,0.00,84.60,0.00
172.64.150.189,4,4,0.00,84.68,0.00
104.18.47.238,4,4,0.00,85.01,0.00
108.162.198.9,4,4,0.00,85.72,0.00
108.162.194.158,4,4,0.00,85.92,0.00
198.41.222.69,4,4,0.00,86.01,0.00
108.162.192.1,4,4,0.00,86.23,0.00
104.18.43.11,4,4,0.00,86.56,0.00
108.162.192.5,4,4,0.00,89.46,0.00
172.64.94.74,4,4,0.00,142.41,0.00
104.17.139.37,4,4,0.00,143.46,0.00
104.16.105.166,4,4,0.00,143.76,0.00
198.41.215.169,4,4,0.00,144.08,0.00
172.65.194.77,4,4,0.00,144.46,0.00
190.93.246.210,4,4,0.00,144.47,0.00
104.17.186.42,4,4,0.00,144.55,0.00
198.41.208.15,4,4,0.00,144.77,0.00
190.93.247.223,4,4,0.00,144.98,0.00
172.66.0.3,4,4,0.00,145.15,0.00
198.41.200.101,4,4,0.00,145.48,0.00
104.18.0.4,4,4,0.00,145.96,0.00
172.66.0.7,4,4,0.00,146.42,0.00
104.16.0.8,4,4,0.00,146.75,0.00
104.17.142.21,4,4,0.00,146.89,0.00
104.16.105.16,4,4,0.00,146.96,0.00
104.19.1.36,4,4,0.00,147.06,0.00
104.19.212.20,4,4,0.00,147.44,0.00
104.19.150.45,4,4,0.00,147.53,0.00
104.16.0.5,4,4,0.00,147.96,0.00
104.18.92.233,4,4,0.00,148.14,0.00
104.18.81.19,4,4,0.00,148.17,0.00
104.19.220.22,4,4,0.00,148.25,0.00
104.16.144.36,4,4,0.00,148.57,0.00
162.159.252.16,4,4,0.00,149.10,0.00
104.16.158.159,4,4,0.00,149.40,0.00
104.18.22.113,4,4,0.00,149.99,0.00
162.159.137.20,4,4,0.00,150.07,0.00
172.64.92.70,4,4,0.00,150.22,0.00
104.17.158.14,4,4,0.00,150.46,0.00
162.159.153.42,4,4,0.00,150.53,0.00
104.17.163.152,4,4,0.00,150.60,0.00
104.17.0.6,4,4,0.00,150.69,0.00
198.41.208.10,4,4,0.00,150.70,0.00
104.17.149.74,4,4,0.00,150.77,0.00
104.19.154.20,4,4,0.00,150.94,0.00
172.64.230.1,4,4,0.00,151.02,0.00
104.17.0.9,4,4,0.00,151.07,0.00
104.17.22.36,4,4,0.00,151.13,0.00
104.18.193.10,4,4,0.00,151.33,0.00
104.19.0.8,4,4,0.00,151.65,0.00
104.19.153.19,4,4,0.00,151.89,0.00
104.19.0.9,4,4,0.00,151.93,0.00
162.159.152.69,4,4,0.00,152.08,0.00
162.159.128.25,4,4,0.00,152.24,0.00
104.16.149.78,4,4,0.00,152.47,0.00
173.245.49.19,4,4,0.00,152.48,0.00
104.16.0.246,4,4,0.00,154.25,0.00
104.18.0.2,4,4,0.00,154.37,0.00
104.16.230.52,4,4,0.00,154.76,0.00
104.18.0.5,4,4,0.00,154.80,0.00
162.159.140.85,4,4,0.00,154.83,0.00
104.16.148.20,4,4,0.00,154.87,0.00
104.17.222.95,4,4,0.00,154.93,0.00
104.17.0.8,4,4,0.00,155.09,0.00
104.17.61.224,4,4,0.00,155.27,0.00
104.17.190.56,4,4,0.00,155.34,0.00
104.16.155.107,4,4,0.00,155.50,0.00
104.16.242.112,4,4,0.00,155.53,0.00
104.17.0.5,4,4,0.00,155.64,0.00
104.31.16.15,4,4,0.00,155.67,0.00
162.159.153.170,4,4,0.00,155.75,0.00
162.159.153.209,4,4,0.00,155.86,0.00
104.18.166.12,4,4,0.00,156.19,0.00
162.159.152.81,4,4,0.00,156.21,0.00
198.41.208.22,4,4,0.00,156.23,0.00
141.101.114.188,4,4,0.00,156.47,0.00
104.18.22.164,4,4,0.00,156.71,0.00
104.19.155.23,4,4,0.00,157.03,0.00
190.93.244.209,4,4,0.00,157.50,0.00
162.159.140.11,4,4,0.00,157.66,0.00
104.19.148.12,4,4,0.00,158.28,0.00
104.17.212.80,4,4,0.00,159.06,0.00
104.18.15.13,4,4,0.00,159.15,0.00
103.21.244.42,4,4,0.00,159.22,0.00
104.19.247.213,4,4,0.00,159.49,0.00
104.17.21.204,4,4,0.00,159.52,0.00
172.64.230.5,4,4,0.00,159.83,0.00
104.17.24.230,4,4,0.00,160.13,0.00
104.17.153.16,4,4,0.00,160.18,0.00
172.64.231.246,4,4,0.00,160.45,0.00
104.17.0.2,4,4,0.00,160.91,0.00
172.64.230.7,4,4,0.00,161.18,0.00
103.21.244.27,4,4,0.00,161.99,0.00
198.41.209.17,4,4,0.00,163.02,0.00
172.66.0.2,4,4,0.00,163.45,0.00
172.66.0.4,4,4,0.00,163.58,0.00
104.16.0.2,4,4,0.00,163.65,0.00
104.17.26.39,4,4,0.00,163.75,0.00
104.17.60.246,4,4,0.00,163.90,0.00
198.41.209.8,4,4,0.00,163.94,0.00
104.18.163.24,4,4,0.00,164.18,0.00
104.17.45.205,4,4,0.00,164.41,0.00
104.19.199.158,4,4,0.00,164.41,0.00
198.41.209.11,4,4,0.00,164.45,0.00
104.17.30.58,4,4,0.00,164.46,0.00
104.17.49.41,4,4,0.00,164.74,0.00
104.16.240.104,4,4,0.00,164.76,0.00
172.66.0.6,4,4,0.00,165.12,0.00
104.18.89.93,4,4,0.00,165.39,0.00
172.64.230.6,4,4,0.00,165.63,0.00
104.21.0.5,4,4,0.00,165.70,0.00
104.18.89.82,4,4,0.00,165.89,0.00
104.20.1.254,4,4,0.00,165.98,0.00
172.66.0.8,4,4,0.00,166.04,0.00
172.64.91.69,4,4,0.00,166.06,0.00
104.18.0.3,4,4,0.00,166.19,0.00
172.64.232.6,4,4,0.00,166.58,0.00
172.67.71.63,4,4,0.00,166.67,0.00
141.101.120.94,4,4,0.00,166.94,0.00
162.159.152.11,4,4,0.00,167.05,0.00
172.64.230.8,4,4,0.00,167.11,0.00
198.41.208.13,4,4,0.00,167.20,0.00
104.17.0.1,4,4,0.00,167.21,0.00
104.17.0.3,4,4,0.00,167.24,0.00
104.17.191.109,4,4,0.00,167.29,0.00
172.64.232.9,4,4,0.00,167.37,0.00
172.64.230.177,4,4,0.00,167.61,0.00
104.16.163.65,4,4,0.00,167.87,0.00
172.67.75.8,4,4,0.00,167.90,0.00
172.65.246.147,4,4,0.00,167.95,0.00
104.19.0.3,4,4,0.00,168.09,0.00
172.67.76.93,4,4,0.00,168.20,0.00
104.19.156.28,4,4,0.00,168.51,0.00
104.18.0.9,4,4,0.00,168.95,0.00
104.19.0.5,4,4,0.00,169.27,0.00
104.18.223.25,4,4,0.00,169.38,0.00
172.64.82.11,4,4,0.00,169.58,0.00
104.16.242.70,4,4,0.00,169.60,0.00
104.18.255.16,4,4,0.00,169.61,0.00
104.17.69.24,4,4,0.00,169.70,0.00
104.19.59.169,4,4,0.00,169.76,0.00
104.18.0.6,4,4,0.00,169.93,0.00
