IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.3.73,4,4,0.00,82.25,0.00
108.162.192.6,4,4,0.00,82.28,0.00
173.245.58.119,4,4,0.00,82.31,0.00
162.159.51.93,4,4,0.00,82.48,0.00
162.159.1.226,4,4,0.00,82.48,0.00
172.64.159.84,4,4,0.00,82.48,0.00
173.245.59.219,4,4,0.00,82.53,0.00
162.159.0.1,4,4,0.00,82.84,0.00
162.159.0.6,4,4,0.00,82.91,0.00
108.162.192.7,4,4,0.00,83.22,0.00
172.64.38.20,4,4,0.00,83.22,0.00
162.159.2.139,4,4,0.00,83.32,0.00
108.162.192.4,4,4,0.00,83.33,0.00
172.64.48.37,4,4,0.00,83.35,0.00
172.64.32.5,4,4,0.00,83.53,0.00
162.159.61.18,4,4,0.00,83.56,0.00
172.64.155.152,4,4,0.00,84.24,0.00
198.41.211.222,4,4,0.00,84.32,0.00
104.18.38.108,4,4,0.00,84.53,0.00
162.159.0.7,4,4,0.00,84.74,0.00
104.18.37.97,4,4,0.00,84.77,0.00
162.159.0.3,4,4,0.00,84.83,0.00
104.18.47.238,4,4,0.00,85.14,0.00
172.66.0.7,4,4,0.00,143.91,0.00
104.17.0.2,4,4,0.00,143.97,0.00
172.64.92.70,4,4,0.00,144.48,0.00
198.41.215.169,4,4,0.00,144.83,0.00
104.19.220.22,4,4,0.00,145.22,0.00
104.16.0.246,4,4,0.00,145.28,0.00
198.41.208.22,4,4,0.00,145.90,0.00
104.16.222.45,4,4,0.00,146.01,0.00
104.18.0.5,4,4,0.00,147.26,0.00
104.17.0.6,4,4,0.00,147.53,0.00
104.16.0.8,4,4,0.00,147.56,0.00
198.41.208.15,4,4,0.00,147.89,0.00
190.93.247.223,4,4,0.00,148.59,0.00
162.159.252.16,4,4,0.00,148.71,0.00
104.19.153.19,4,4,0.00,149.16,0.00
162.159.152.81,4,4,0.00,149.39,0.00
162.159.153.170,4,4,0.00,149.55,0.00
173.245.49.19,4,4,0.00,149.57,0.00
162.159.140.11,4,4,0.00,149.58,0.00
162.159.137.20,4,4,0.00,149.74,0.00
104.18.255.167,4,4,0.00,149.82,0.00
104.19.212.20,4,4,0.00,149.84,0.00
104.19.0.9,4,4,0.00,149.92,0.00
104.17.22.36,4,4,0.00,150.15,0.00
104.16.119.55,4,4,0.00,150.17,0.00
104.18.0.4,4,4,0.00,150.28,0.00
104.17.163.152,4,4,0.00,150.29,0.00
198.41.200.101,4,4,0.00,150.29,0.00
104.31.16.15,4,4,0.00,150.34,0.00
104.17.187.99,4,4,0.00,150.38,0.00
104.16.230.52,4,4,0.00,150.39,0.00
104.19.154.20,4,4,0.00,150.43,0.00
104.17.88.81,4,4,0.00,150.61,0.00
104.16.144.36,4,4,0.00,150.75,0.00
104.16.149.78,4,4,0.00,150.83,0.00
104.17.61.85,4,4,0.00,150.96,0.00
190.93.246.210,4,4,0.00,151.05,0.00
104.19.150.45,4,4,0.00,151.12,0.00
104.17.139.37,4,4,0.00,151.57,0.00
172.64.94.74,4,4,0.00,151.96,0.00
104.17.222.95,4,4,0.00,152.34,0.00
104.18.22.113,4,4,0.00,152.46,0.00
162.159.153.209,4,4,0.00,152.47,0.00
104.17.0.9,4,4,0.00,152.56,0.00
104.19.0.8,4,4,0.00,152.83,0.00
104.18.193.10,4,4,0.00,153.00,0.00
162.159.153.42,4,4,0.00,153.08,0.00
190.93.244.209,4,4,0.00,153.43,0.00
104.17.0.5,4,4,0.00,153.53,0.00
104.17.190.56,4,4,0.00,153.65,0.00
104.19.1.36,4,4,0.00,153.80,0.00
104.18.166.12,4,4,0.00,154.08,0.00
198.41.208.10,4,4,0.00,154.19,0.00
104.17.0.8,4,4,0.00,154.28,0.00
162.159.140.85,4,4,0.00,154.42,0.00
104.19.148.12,4,4,0.00,154.74,0.00
104.18.0.2,4,4,0.00,154.82,0.00
104.16.0.5,4,4,0.00,155.05,0.00
104.18.81.19,4,4,0.00,155.13,0.00
162.159.128.25,4,4,0.00,155.23,0.00
104.19.155.23,4,4,0.00,155.28,0.00
172.66.0.3,4,4,0.00,155.54,0.00
104.17.142.21,4,4,0.00,155.88,0.00
104.17.61.224,4,4,0.00,156.23,0.00
104.16.19.195,4,4,0.00,156.66,0.00
141.101.114.188,4,4,0.00,157.06,0.00
104.19.247.213,4,4,0.00,157.69,0.00
104.17.149.74,4,4,0.00,158.28,0.00
162.159.152.69,4,4,0.00,158.89,0.00
172.64.230.1,4,4,0.00,159.27,0.00
104.16.0.2,4,4,0.00,160.13,0.00
104.18.22.164,4,4,0.00,160.95,0.00
104.16.0.6,4,4,0.00,161.01,0.00
172.66.0.8,4,4,0.00,161.12,0.00
103.21.244.27,4,4,0.00,161.43,0.00
104.18.89.52,4,4,0.00,161.67,0.00
162.159.136.89,4,4,0.00,162.27,0.00
198.41.219.248,4,4,0.00,162.84,0.00
104.18.0.9,4,4,0.00,163.05,0.00
104.19.35.177,4,4,0.00,163.28,0.00
104.16.155.97,4,4,0.00,163.36,0.00
104.17.191.109,4,4,0.00,163.58,0.00
104.16.254.247,4,4,0.00,163.68,0.00
172.66.0.6,4,4,0.00,163.88,0.00
172.66.0.9,4,4,0.00,163.89,0.00
104.19.199.158,4,4,0.00,164.03,0.00
162.159.152.11,4,4,0.00,164.50,0.00
104.18.15.13,4,4,0.00,164.98,0.00
198.41.209.17,4,4,0.00,165.08,0.00
198.41.209.8,4,4,0.00,166.59,0.00
104.18.0.3,4,4,0.00,166.71,0.00
104.18.189.15,4,4,0.00,166.87,0.00
172.64.82.11,4,4,0.00,167.07,0.00
104.24.0.8,4,4,0.00,167.22,0.00
172.66.0.4,4,4,0.00,167.51,0.00
141.101.120.94,4,4,0.00,167.70,0.00
172.64.231.246,4,4,0.00,167.79,0.00
198.41.209.11,4,4,0.00,167.92,0.00
104.21.0.9,4,4,0.00,167.95,0.00
104.17.174.215,4,4,0.00,168.07,0.00
104.24.0.1,4,4,0.00,168.22,0.00
104.17.18.189,4,4,0.00,168.28,0.00
104.19.59.169,4,4,0.00,168.39,0.00
172.64.230.7,4,4,0.00,168.43,0.00
104.16.240.104,4,4,0.00,168.80,0.00
172.64.230.177,4,4,0.00,168.95,0.00
104.25.0.8,4,4,0.00,169.20,0.00
104.18.255.16,4,4,0.00,169.29,0.00
104.17.162.3,4,4,0.00,169.32,0.00
104.17.45.205,4,4,0.00,169.55,0.00
104.26.5.13,4,4,0.00,169.76,0.00
104.17.212.80,4,4,0.00,169.79,0.00
